event_date,avg_session_duration,avg_prev_7_days,pct_change_from_prev_7_days
2024-02-15,1057.61,,
2024-02-16,1042.24,1057.61,-1.45
2024-02-17,1030.79,1049.93,-1.82
2024-02-18,1043.24,1043.55,-0.03
2024-02-19,1063.05,1043.47,1.88
2024-02-20,1067.16,1047.38,1.89
2024-02-21,1090.08,1050.68,3.75
2024-02-22,1055.33,1056.31,-0.09
2024-02-23,1030.92,1055.98,-2.37
2024-02-24,1031.86,1054.37,-2.13
2024-02-25,1069.51,1054.52,1.42
2024-02-26,1095.08,1058.27,3.48
2024-02-27,1091.99,1062.85,2.74
2024-02-28,1115.39,1066.4,4.59
2024-02-29,1080.63,1070.01,0.99
2024-03-01,1046.21,1073.63,-2.55
2024-03-02,1019.74,1075.81,-5.21
2024-03-03,1064.99,1074.08,-0.85
2024-03-04,1091.1,1073.43,1.65
2024-03-05,1084.07,1072.86,1.04
2024-03-06,1099.64,1071.73,2.6
2024-03-07,1071.73,1069.48,0.21
2024-03-08,1028.15,1068.21,-3.75
2024-03-09,1029.87,1065.63,-3.36
2024-03-10,1062.5,1067.08,-0.43
2024-03-11,1089.65,1066.72,2.15
2024-03-12,1075.41,1066.52,0.83
2024-03-13,1091.73,1065.28,2.48
2024-03-14,1062.48,1064.15,-0.16
2024-03-15,1041.19,1062.83,-2.04
