install_date,d0_retention,d1_retention,d3_retention,d7_retention,d30_retention
2024-02-15,0.874,0.407,0.146,0.068,0.038
2024-02-16,0.867,0.424,0.136,0.073,0.043
2024-02-17,0.876,0.421,0.13,0.083,0.044
2024-02-18,0.891,0.367,0.137,0.086,0.037
2024-02-19,0.871,0.408,0.151,0.071,0.04
2024-02-20,0.877,0.405,0.152,0.071,0.038
2024-02-21,0.876,0.406,0.16,0.069,0.042
2024-02-22,0.881,0.407,0.15,0.069,0.042
2024-02-23,0.868,0.423,0.128,0.07,0.043
2024-02-24,0.88,0.409,0.128,0.084,0.045
2024-02-25,0.886,0.365,0.137,0.087,0.038
2024-02-26,0.866,0.409,0.145,0.074,0.042
2024-02-27,0.868,0.406,0.152,0.072,0.042
2024-02-28,0.879,0.403,0.159,0.072,0.04
2024-02-29,0.872,0.416,0.148,0.073,0.043
2024-03-01,0.873,0.417,0.128,0.075,0.0
2024-03-02,0.873,0.42,0.127,0.088,0.0
2024-03-03,0.887,0.361,0.135,0.087,0.0
2024-03-04,0.871,0.412,0.152,0.071,0.0
2024-03-05,0.87,0.411,0.155,0.073,0.0
2024-03-06,0.871,0.415,0.165,0.074,0.0
2024-03-07,0.863,0.435,0.155,0.074,0.0
2024-03-08,0.864,0.434,0.132,0.074,0.0
2024-03-09,0.882,0.418,0.129,0.0,0.0
2024-03-10,0.891,0.374,0.142,0.0,0.0
2024-03-11,0.855,0.43,0.152,0.0,0.0
2024-03-12,0.882,0.41,0.151,0.0,0.0
2024-03-13,0.883,0.419,0.0,0.0,0.0
2024-03-14,0.89,0.413,0.0,0.0,0.0
2024-03-15,0.999,0.0,0.0,0.0,0.0
